id	title	description	link	color	price	height	width	weight	image link	brand	gtin	mpn	product type	google product category	quantity	condition	currency	adwords_redirect	c:drlp	adwords_queryparam	adwords_labels	availability	created_date	custom_label_0	custom_label_1	custom_label_2	custom_label_3	custom_label_4	google_funded_promotion_eligibility
2HP20SH-S-1	Indulge 2 Hole Puncher - 20 Sheet Capacity - Silver - Pack of 1	Indulge 2 Hole Puncher - 20 Sheet Capacity in Silver is a manual hole puncher designed to cleanly slice through up to 20 sheets of paper. ProPunch technology makes punching 50% easier. Built-in handle locks down for storage when not in use and clean up is easy with an internal chip compartment that empties through a rear door. All metal construction ensures long lasting performance.	https://www.folders.com/hole-punchers/indulge-2-hole-puncher-20-sheet-capacity-silver?utm_source=gbase&utm_medium=cpc&utm_campaign=gbase&CS_003=2521211&CS_010=2HP20SH-S	Silver	17.95	4.0 inches	5.0 inches	0.7 pounds	https://www.folders.com/images/products/detail/2HP20SH-S.jpg?ts=10239123	Folders.com		2HP20SH-S-1	Paper	Office Supplies > Filing & Organization > File Folders	1	new	USD	https://www.folders.com/hole-punchers/indulge-2-hole-puncher-20-sheet-capacity-silver	https%3A%2F%2Fwww%2Efolders%2Ecom%2Fhole-punchers%2Findulge-2-hole-puncher-20-sheet-capacity-silver	adtype={adtype}	Hole Punchers,Accessories,5 x 4,Silver,BID,remarketing	in stock	2018-01-03 10:40:03						
2HP40SH-S-1	Indulge 2 Hole Puncher - 40 Sheet Capacity - Silver - Pack of 1	Indulge 2 Hole Puncher - 40 Sheet Capacity in Silver is a manual hole puncher designed to cleanly slice through up to 20 sheets of paper. ProPunch technology makes punching 50% easier. Built-in handle locks down for storage when not in use and clean up is easy with an internal chip compartment that empties through a rear door. All metal construction ensures long lasting performance.	https://www.folders.com/hole-punchers/indulge-2-hole-puncher-40-sheet-capacity-silver?utm_source=gbase&utm_medium=cpc&utm_campaign=gbase&CS_003=2521211&CS_010=2HP40SH-S	Silver	36.95	4.0 inches	5.0 inches	1.8 pounds	https://www.folders.com/images/products/detail/2HP40SH-S.jpg?ts=10239123	Folders.com		2HP40SH-S-1	Paper	Office Supplies > Filing & Organization > File Folders	1	new	USD	https://www.folders.com/hole-punchers/indulge-2-hole-puncher-40-sheet-capacity-silver	https%3A%2F%2Fwww%2Efolders%2Ecom%2Fhole-punchers%2Findulge-2-hole-puncher-40-sheet-capacity-silver	adtype={adtype}	Hole Punchers,Accessories,5 x 4,Silver,BID,remarketing	in stock	2018-01-03 10:40:03						
2SAFPL-1	Self-Adhesive Paper Fasteners - 50 Pack - Purple - Pack of 1	Self-Adhesive Paper Fasteners in Purple include 50 fasteners in each box and are made to secure top-punched documents inside a file folder. With a 2" capacity that can hold up to 480 pages, the 5" long easy-peel adhesive backing allows you to easily apply the fasteners in place.	https://www.folders.com/fasteners/self-adhesive-paper-fasteners-50-pack-purple?utm_source=gbase&utm_medium=cpc&utm_campaign=gbase&CS_003=2521211&CS_010=2SAFPL	Purple	7.95	1.5 inches	7.8 inches	0.0 pounds	https://www.folders.com/images/products/detail/2SAFPL.jpg?ts=10239123	Folders.com		2SAFPL-1	Folder	Office Supplies > Filing & Organization > File Folders	1	new	USD	https://www.folders.com/fasteners/self-adhesive-paper-fasteners-50-pack-purple	https%3A%2F%2Fwww%2Efolders%2Ecom%2Ffasteners%2Fself-adhesive-paper-fasteners-50-pack-purple	adtype={adtype}	Fasteners,Accessories,7 3/4 x 1 1/2,Purple,BID,remarketing	in stock	2017-11-30 12:25:52						
30858-50	16 x 20 Jumbo Envelopes - Gray Kraft - Pack of 50	16 x 20 Jumbo Envelopes in 28lb. Gray Kraft is a fresh variation on the classic craft paper look. Use this to send flat, bulky materials or multiple small items like coins, catalogs and jumbo cards. Flap is on the short side, helping to keep things from falling out after opening. Also called a "catalog" envelope, it actually comes in 39 sizes from tiny to huge, in white, traditional kraft, and array of colors for special impact. Available with moistenable flap, some with self-stick Peel & Seal. Also see our Open Side collection. This collection is available in quantities as small as 50 to larger quantities of 50,000 and more.	https://www.folders.com/open-end/16-x-20-jumbo-envelopes-gray-kraft?utm_source=gbase&utm_medium=cpc&utm_campaign=gbase&CS_003=2521211&CS_010=30858	Gray	96.95	20.0 inches	16.0 inches	5.9 pounds	https://www.folders.com/images/products/detail/30858.jpg?ts=10239123	Folders.com	848614016150	30858-50	Envelope	Office Supplies > Filing & Organization > File Folders	50	new	USD	https://www.folders.com/open-end/16-x-20-jumbo-envelopes-gray-kraft	https%3A%2F%2Fwww%2Efolders%2Ecom%2Fopen-end%2F16-x-20-jumbo-envelopes-gray-kraft	adtype={adtype}	Open End,Business Envelopes,16 x 20,Gray Kraft,BID,remarketing	in stock	2007-07-01 00:00:00						
31352-50	22 x 27 Jumbo Envelopes - Gray Kraft - Pack of 50	22 x 27 Jumbo Envelopes in 28lb. Gray Kraft is a fresh variation on the classic craft paper look. Use this to send flat, bulky materials or multiple small items like coins, catalogs and jumbo cards. Flap is on the short side, helping to keep things from falling out after opening. Also called a "catalog" envelope, it actually comes in 39 sizes from tiny to huge, in white, traditional kraft, and array of colors for special impact. Available with moistenable flap, some with self-stick Peel & Seal. Also see our Open Side collection. This collection is available in quantities as small as 50 to larger quantities of 50,000 and more.	https://www.folders.com/open-end/22-x-27-jumbo-envelopes-gray-kraft?utm_source=gbase&utm_medium=cpc&utm_campaign=gbase&CS_003=2521211&CS_010=31352	Gray	162.95	27.0 inches	22.0 inches	10.5 pounds	https://www.folders.com/images/products/detail/31352.jpg?ts=10239123	Folders.com	848614016457	31352-50	Envelope	Office Supplies > Filing & Organization > File Folders	50	new	USD	https://www.folders.com/open-end/22-x-27-jumbo-envelopes-gray-kraft	https%3A%2F%2Fwww%2Efolders%2Ecom%2Fopen-end%2F22-x-27-jumbo-envelopes-gray-kraft	adtype={adtype}	Open End,Business Envelopes,22 x 27,Gray Kraft,BID,remarketing	in stock	2007-07-01 00:00:00						
37090-100	7 1/4 x 11 1/4 AirJacket Mailers - White Bubble - Pack of 100	7 1/4 x 11 1/4 AirJacket Mailers are a bubble-wrap lining, perfect for protecting sensitive objects like CD's, DVD's, books, jewelry and pharmaceuticals. Durable polypropylene plastic exterior resists moisture. A bottom fold and strong side heat seals provide superior bursting strength. Strong, tamper-evident Peel & Seal in 10 sizes. You can find this item available in quantities of 100 to 50,000.	https://www.folders.com/bubble-lined/7-1-4-x-11-1-4-airjacket-mailers-white-bubble?utm_source=gbase&utm_medium=cpc&utm_campaign=gbase&CS_003=2521211&CS_010=37090	White	48.95	11.2 inches	7.2 inches	6.5 pounds	https://www.folders.com/images/products/detail/37090.jpg?ts=10239123	Folders.com	646223025675	37090-100	Mailer	Office Supplies > Filing & Organization > File Folders	100	new	USD	https://www.folders.com/bubble-lined/7-1-4-x-11-1-4-airjacket-mailers-white-bubble	https%3A%2F%2Fwww%2Efolders%2Ecom%2Fbubble-lined%2F7-1-4-x-11-1-4-airjacket-mailers-white-bubble	adtype={adtype}	Bubble Lined,Shipping & Packaging,7 1/4" x 12",White Bubble,BID,remarketing	in stock	2007-07-01 00:00:00						
3DF-0802-250	9 1/4 x 12 Presentation Folders - 1/2" Double Score Spine - Pack of 250	Presentation Folders with a 1/2" Double Scored Spine (9 1/4" x 12") are designed to hold more documents than a standard folder. Perfect for holding booklets, standard letter size 8 1/2" x 11" papers, documents, print media, brochures, stepped inserts and other professional uses. The two interior pockets measure 4" in height and the right pocket features card slits to securely hold and display standard size business cards (3 1/2" x 2"). Both pockets are also die-cut in a v-split style to prevent buckling when opening and closing the covers. The square corners of this standard size presentation folder were expertly die-cut for a clean, professional look. Available in a variety of colors, textures and cover stocks with many printing options.	https://www.folders.com/large-presentation-folders/9-1-4-x-12-presentation-folders-1-2-double-score-spine?utm_source=gbase&utm_medium=cpc&utm_campaign=gbase&CS_003=2521211&CS_010=3DF-0802		531.95	12.0 inches	9.0 inches	0.0 pounds	https://www.folders.com/images/products/detail/3DF-0802.jpg?ts=10239123	Folders.com	646223059519	3DF-0802-250	Folder	Office Supplies > Filing & Organization > File Folders	250	new	USD	https://www.folders.com/large-presentation-folders/9-1-4-x-12-presentation-folders-1-2-double-score-spine	https%3A%2F%2Fwww%2Efolders%2Ecom%2Flarge-presentation-folders%2F9-1-4-x-12-presentation-folders-1-2-double-score-spine	adtype={adtype}	Large Presentation Folders,Folders,9 1/4" x 12",N/A,BID,remarketing	in stock	2017-05-24 16:59:09						
3DF-0803-250	9 1/2 x 12 Presentation Folders - 1/2" Triple Score Spine - Pack of 250	Presentation Folders with a 1/2" Triple Scored Spine (9 1/2" x 12") are designed to hold more documents than a standard folder, while remaining flat when empty. Perfect for holding booklets, standard letter size 8 1/2" x 11" papers, documents, print media, brochures, stepped inserts and other professional uses. The two interior pockets measure 4" in height and the right pocket features card slits to securely hold and display standard size business cards (3 1/2" x 2"). Both pockets are also die-cut in a v-split style to prevent buckling when opening and closing the covers. The square corners of this standard size presentation folder were expertly die-cut for a clean, professional look. Available in a variety of colors, textures and cover stocks with many printing options.	https://www.folders.com/large-presentation-folders/9-1-2-x-12-presentation-folders-1-2-triple-score-spine?utm_source=gbase&utm_medium=cpc&utm_campaign=gbase&CS_003=2521211&CS_010=3DF-0803		531.95	12.0 inches	9.0 inches	0.0 pounds	https://www.folders.com/images/products/detail/3DF-0803.jpg?ts=10239123	Folders.com	646223059526	3DF-0803-250	Folder	Office Supplies > Filing & Organization > File Folders	250	new	USD	https://www.folders.com/large-presentation-folders/9-1-2-x-12-presentation-folders-1-2-triple-score-spine	https%3A%2F%2Fwww%2Efolders%2Ecom%2Flarge-presentation-folders%2F9-1-2-x-12-presentation-folders-1-2-triple-score-spine	adtype={adtype}	Large Presentation Folders,Folders,9 1/4" x 12",N/A,BID,remarketing	in stock	2017-05-24 16:59:09						
3DF-0811-250	9 x 12 Presentation Folders - 1/4" Double Score Spine - Pack of 250	Presentation Folders with a 1/4" Double Scored Spine (9 " x 12") are designed to hold more documents than a standard folder. Perfect for holding booklets, standard letter size 8 1/2" x 11" papers, documents, print media, brochures, stepped inserts and other professional uses. The two interior pockets measure 4" in height and the right pocket features card slits to securely hold and display standard size business cards (3 1/2" x 2"). Both pockets are also die-cut in a v-split style to prevent buckling when opening and closing the covers. The square corners of this standard size presentation folder were expertly die-cut for a clean, professional look. Available in a variety of colors, textures and cover stocks with many printing options.	https://www.folders.com/large-presentation-folders/9-x-12-presentation-folders-1-4-double-score-spine?utm_source=gbase&utm_medium=cpc&utm_campaign=gbase&CS_003=2521211&CS_010=3DF-0811		531.95	12.0 inches	9.0 inches	0.0 pounds	https://www.folders.com/images/products/detail/3DF-0811.jpg?ts=10239123	Folders.com	646223059533	3DF-0811-250	Folder	Office Supplies > Filing & Organization > File Folders	250	new	USD	https://www.folders.com/large-presentation-folders/9-x-12-presentation-folders-1-4-double-score-spine	https%3A%2F%2Fwww%2Efolders%2Ecom%2Flarge-presentation-folders%2F9-x-12-presentation-folders-1-4-double-score-spine	adtype={adtype}	Large Presentation Folders,Folders,9" x 12",N/A,BID,remarketing	in stock	2017-05-24 16:59:09						
3DF-152-250	File Tab Presentation Folder - Pack of 250	Presentation Folders with 1/4" Capacity Pockets, a File Tab and Reinforced Edges (10" x 11 3/4") are durable and designed to hold more documents than a standard folder. Perfect for holding booklets, standard letter size 8 1/2" x 11" papers, documents, print media, brochures, stepped inserts and other professional uses. The two interior pockets expand to hold contents up to 1/4" thick and measure 4" in height. With 1" Reinforced Edges, this folder will stand up to everyday use and not fray at the edges. With a 1/2" Double Scored Spine this folder can also hold thicker items on the inside. The right pocket features card slits to securely hold and display standard size business cards (3 1/2" x 2") and a file tab to easily label and organize your folders. Both pockets are also die-cut in a v-split style to prevent buckling when opening and closing the covers. The square corners of this standard size presentation folder were expertly die-cut for a clean, professional look. Available in a variety of colors, textures and cover stocks with many printing options.	https://www.folders.com/reinforced-edge-folders/file-tab-presentation-folder?utm_source=gbase&utm_medium=cpc&utm_campaign=gbase&CS_003=2521211&CS_010=3DF-152		673.95	11.8 inches	10.0 inches	0.0 pounds	https://www.folders.com/images/products/detail/3DF-152.jpg?ts=10239123	Folders.com	646223059618	3DF-152-250	Folder	Office Supplies > Filing & Organization > File Folders	250	new	USD	https://www.folders.com/reinforced-edge-folders/file-tab-presentation-folder	https%3A%2F%2Fwww%2Efolders%2Ecom%2Freinforced-edge-folders%2Ffile-tab-presentation-folder	adtype={adtype}	Reinforced Edge Folders,Folders,10" x 11.75",N/A,BID,remarketing	in stock	2017-05-24 16:59:07						
