-6502,"ABBOTSFORD_54405,CHILI_54420,COLBY_54421,HOARD_54422,CURTISS_54422,DORCHESTER_54425,GRANTON_54436,LYNN_54436,YORK_54436,GREENWOOD_54437,EATON_54437,LOYAL_54446,SPOKEVILLE_54446,CLARK_54447,CHRISTIE_54456,NEILLSVILLE_54456,ATWOOD_54460,GREEN GROVE_54460,OWEN_54460,LYNN_54466,SPOKEVILLE_54479,HENDREN_54493,WILLARD_54493,REDVILLE_54498,CLARK_54498,MAPLEHURST_54498,WITHEE_54498,LONGWOOD_54498,HUMBIRD_54746,HUMBIRD_54754,THORP_54768,THORP_54771",5.50%,WI,CLARK CO,United States,"54405,54420,54421,54422,54425,54436,54437,54446,54447,54456,54460,54466,54479,54493,54498,54746,54754,54768,54771"
-6503,"ARLINGTON_53532,LODI_53555,LODI_53561,LODI_53578,LODI_53583,PORTAGE_53901,ARLINGTON_53911,WISCONSIN DELLS_53913,CAMBRIA_53923,FRIESLAND_53923,COLUMBUS_53925,FRIESLAND_53926,DOYLESTOWN_53928,FALL RIVER_53932,FRIESLAND_53935,PARDEEVILLE_53954,POYNETTE_53955,RANDOLPH_53957,RIO_53960,WISCONSIN DELLS_53965,WYOCENA_53969",5.50%,WI,COLUMBIA CO,United States,"53532,53555,53561,53578,53583,53901,53911,53913,53923,53925,53926,53928,53932,53935,53954,53955,53957,53960,53965,53969"
-6504,"STEUBEN_53518,STEUBEN_53805,PRAIRIE DU CHIEN_53821,WAUZEKA_53826,FERRYVILLE_54624,LYNXVILLE_54626,EASTMAN_54626,FERRYVILLE_54628,GAYS MILLS_54631,BELL CENTER_54631,LYNXVILLE_54640,MOUNT STERLING_54645,SOLDIERS GROVE_54652,SENECA_54654,SOLDIERS GROVE_54655,STEUBEN_54657,SOLDIERS GROVE_54665",5.50%,WI,CRAWFORD CO,United States,"53518,53805,53821,53826,54624,54626,54628,54631,54640,54645,54652,54654,54655,54657,54665"
-6505,"BLUE MOUNDS_53507,BELLEVILLE_53508,BLACK EARTH_53515,BLUE MOUNDS_53516,BLUE MOUNDS_53517,BROOKLYN_53521,CAMBRIDGE_53523,COTTAGE GROVE_53527,CROSS PLAINS_53528,DANE_53529,DEERFIELD_53531,DE FOREST_53532,STOUGHTON_53534,BLUE MOUNDS_53544,DANE_53555,MC FARLAND_53558,MARSHALL_53559,MAZOMANIE_53560,MIDDLETON_53562,MADISON_53562,MORRISONVILLE_53571,MOUNT HOREB_53572,BELLEVILLE_53574,FITCHBURG_53575,OREGON_53575,MAZOMANIE_53583,STOUGHTON_53589,SUN PRAIRIE_53590,VERONA_53593,VERONA BRANCH_53593,MADISON_53593,FITCHBURG_53593,MARSHALL_53594,SUN PRAIRIE_53596,WAUNAKEE_53597,MIDDLETON_53597,WINDSOR_53598,LAKE WINDSOR_53598,MADISON_53701,MADISON_53702,MADISON_53703,MADISON_53704,MAPLE BLUFF_53704,SHOREWOOD HILLS_53705,MADISON_53705,MADISON_53706,MADISON_53707,MADISON_53708,MADISON_53711,FITCHBURG_53711,FITCHBURG_53713,MONONA_53713,MADISON_53713,MADISON_53714,MONONA_53714,MADISON_53715,MONONA_53716,MADISON_53716,MONONA GROVE_53716,MADISON_53717,MADISON_53718,FITCHBURG_53719,MADISON_53719,MADISON_53725,MADISON_53726,MADISON_53744,MADISON_53774,MADISON_53777,MADISON_53778,MADISON_53779,MADISON_53782,MADISON_53783,MADISON_53784,MADISON_53785,MADISON_53786,MADISON_53788,MADISON_53789,MADISON_53790,MADISON_53791,MADISON_53792,MADISON_53793,MADISON_53794,MORRISONVILLE_53911,MARSHALL_53925,MORRISONVILLE_53960",5.50%,WI,DANE CO,United States,"53507,53508,53515,53516,53517,53521,53523,53527,53528,53529,53531,53532,53534,53544,53555,53558,53559,53560,53562,53571,53572,53574,53575,53583,53589,53590,53593,53594,53596,53597,53598,53701,53702,53703,53704,53705,53706,53707,53708,53711,53713,53714,53715,53716,53717,53718,53719,53725,53726,53744,53774,53777,53778,53779,53782,53783,53784,53785,53786,53788,53789,53790,53791,53792,53793,53794,53911,53925,53960"
-6559,"BURLINGTON_53105,CALEDONIA_53108,ROCHESTER_53120,MOUNT PLEASANT_53126,RACINE_53126,FRANKSVILLE_53126,KANSASVILLE_53139,STURTEVANT_53144,WIND LAKE_53149,WIND LAKE_53150,ROCHESTER_53167,RACINE_53177,MOUNT PLEASANT_53177,STURTEVANT_53177,UNION GROVE_53182,WIND LAKE_53185,WATERFORD_53185,RACINE_53401,MOUNT PLEASANT_53401,RACINE_53402,MOUNT PLEASANT_53403,RACINE_53403,MOUNT PLEASANT_53404,RACINE_53404,MOUNT PLEASANT_53405,RACINE_53405,RACINE_53406,MOUNT PLEASANT_53406,RACINE_53407,RACINE_53408",5.10%,WI,,United States,"53105,53108,53120,53126,53139,53144,53149,53150,53167,53177,53182,53185,53401,53402,53403,53404,53405,53406,53407,53408"
-6560,"BROOKFIELD_53005,BUTLER_53007,BROOKFIELD_53008,COLGATE_53017,DELAFIELD_53018,HARTLAND_53029,CHENEQUA_53029,OCONOMOWOC_53036,BROOKFIELD_53045,LANNON_53046,MENOMONEE FALLS_53051,MENOMONEE FALLS_53052,MERTON_53056,CHENEQUA_53058,NASHOTAH_53058,NORTH LAKE_53064,OCONOMOWOC_53066,OKAUCHEE_53069,BROOKFIELD_53072,PEWAUKEE_53072,LISBON_53089,SUSSEX_53089,BIG BEND_53103,DOUSMAN_53118,EAGLE_53119,ELM GROVE_53122,GENESEE DEPOT_53127,NEW BERLIN_53146,WAUKESHA_53146,MUKWONAGO_53149,MUSKEGO_53150,WAUKESHA_53151,NEW BERLIN_53151,NORTH PRAIRIE_53153,EAGLE_53156,DOUSMAN_53178,WALES_53183,BIG BEND_53185,WAUKESHA_53186,VERNON_53186,WAUKESHA_53187,WAUKESHA_53188,VERNON_53188,WAUKESHA_53189,MILWAUKEE_53225",5.10%,WI,,United States,"53005,53007,53008,53017,53018,53029,53036,53045,53046,53051,53052,53056,53058,53064,53066,53069,53072,53089,53103,53118,53119,53122,53127,53146,53149,53150,53151,53153,53156,53178,53183,53185,53186,53187,53188,53189,53225"
-6506,"RUBICON_53002,ASHIPPUN_53003,SOUTH BYRON_53006,BROWNSVILLE_53006,LOMIRA_53010,CLYMAN_53016,RUBICON_53027,HORICON_53032,HUSTISFORD_53034,IRON RIDGE_53035,ASHIPPUN_53036,JUNEAU_53039,LEBANON_53047,KNOWLES_53048,LOMIRA_53048,MAYVILLE_53050,NEOSHO_53059,BROWNSVILLE_53065,RUBICON_53078,THERESA_53091,WATERTOWN_53098,WOODLAND_53099,LOWELL_53557,REESEVILLE_53579,REESEVILLE_53594,SOUTH BEAVER DAM_53916,BURNETT_53922,REESEVILLE_53925,SOUTH BEAVER DAM_53932,FOX LAKE_53933,FOX LAKE_53946,RANDOLPH_53956,WAUPUN_53963",5.50%,WI,DODGE CO,United States,"53002,53003,53006,53010,53016,53027,53032,53034,53035,53036,53039,53047,53048,53050,53059,53065,53078,53091,53098,53099,53557,53579,53594,53916,53922,53925,53932,53933,53946,53956,53963"
-6507,"FORESTVILLE_54201,BAILEYS HARBOR_54202,BRUSSELS_54204,FORESTVILLE_54205,EGG HARBOR_54209,ELLISON BAY_54210,EPHRAIM_54211,FISH CREEK_54212,FORESTVILLE_54213,BRUSSELS_54217,MAPLEWOOD_54226,SISTER BAY_54234,JACKSONPORT_54235,SEVASTOPOL_54235,STURGEON BAY_54235,VALMY_54235,INSTITUTE_54235,MAPLEWOOD_54235,WASHINGTON ISLAND_54246",5.50%,WI,DOOR CO,United States,"54201,54202,54204,54205,54209,54210,54211,54212,54213,54217,54226,54234,54235,54246"
-6508,"BRULE_54820,WASCOTT_54830,FOXBORO_54836,GORDON_54838,WASCOTT_54838,HAWTHORNE_54842,LAKE NEBAGAMON_54849,MAPLE_54854,POPLAR_54864,BARNES_54873,SOLON SPRINGS_54873,BENNETT_54873,SOUTH RANGE_54874,WENTWORTH_54874,SUPERIOR_54880,WASCOTT_54890",5.50%,WI,DOUGLAS CO,United States,"54820,54830,54836,54838,54842,54849,54854,54864,54873,54874,54880,54890"
-6509,"ELK MOUND_54701,EAU GALLE_54721,SAND CREEK_54724,BOYCEVILLE_54725,CONNORSVILLE_54725,SAND CREEK_54728,COLFAX_54730,ALBERTVILLE_54730,DOWNING_54734,DOWNSVILLE_54735,EAU GALLE_54737,ELK MOUND_54739,EAU GALLE_54740,KNAPP_54749,NORTH MENOMONIE_54751,RUSK_54751,CEDAR FALLS_54751,ROCK FALLS_54755,SAND CREEK_54757,RIDGELAND_54762,RIDGELAND_54763,ROCK FALLS_54764,SAND CREEK_54765,WHEELER_54772",5.50%,WI,DUNN CO,United States,"54701,54721,54724,54725,54728,54730,54734,54735,54737,54739,54740,54749,54751,54755,54757,54762,54763,54764,54765,54772"
